Name,Age,Gender,Overall usage of smartphones (in hours),Time since you acquired your first phone?,Do you feel anxious when you  dont have your smartphones.,Arguments for using smartphone for long time,Can you live without phone?,Are you addicted to smartphone?,Do you use your smartphone while driving ,Do you spend time on physical activities?,Do you plug your cell phone into the wall next to your bed when you go to sleep?,Do you use your cell phone while its charging?
161,29,0,1,1,0,2,1,1,1,1,1,1
162,20,1,8,1,0,2,1,1,1,0,0,0
163,20,0,3,2,1,1,2,1,1,0,1,1
164,22,1,4,2,1,2,2,0,1,0,1,1
165,23,1,12,3,0,1,2,1,1,1,0,1
166,20,0,8,2,0,3,1,0,1,1,0,0
167,22,0,10,3,1,2,2,1,1,0,1,0
168,24,1,10,2,1,1,2,1,1,0,1,1
169,22,1,6,2,1,2,0,0,1,1,1,1
170,22,1,4,3,1,1,2,1,1,0,1,1
171,23,0,4,1,1,2,0,1,1,0,1,1
172,22,0,7,1,1,1,2,1,1,0,0,1
173,20,1,10,2,1,2,2,1,1,1,1,1
174,19,1,4,4,0,3,1,1,1,0,0,0
175,19,1,5,2,1,2,2,1,1,0,0,1
176,39,0,4,1,0,1,2,1,1,0,1,1
177,19,1,2,3,1,1,0,0,1,1,1,1
178,22,1,1,2,0,2,1,1,1,0,1,1
179,35,0,3,4,1,1,0,1,1,1,1,1
180,55,0,5,3,1,1,0,1,1,1,1,1
181,68,1,5,2,1,1,0,1,1,0,1,1
182,22,1,2,3,1,2,2,0,1,0,1,1
183,37,0,5,1,1,3,2,1,1,1,1,1
184,68,0,8,1,1,1,0,1,1,0,1,1
185,38,1,4,1,1,1,0,1,1,0,1,1
186,24,1,3,1,1,2,2,1,1,0,1,1
187,23,0,6,1,0,2,1,0,1,1,0,0
188,48,1,1,3,1,1,0,1,1,1,1,1
189,43,1,1,1,1,2,2,1,1,1,1,1
190,33,0,3,1,1,1,0,1,1,1,0,0
191,48,1,2,1,1,1,0,1,1,0,1,1
192,24,1,1,1,1,4,0,1,1,1,1,1
193,33,1,5,2,1,1,0,1,0,0,0,1
194,43,0,3,1,1,1,0,1,0,0,1,1
195,50,0,5,1,1,2,0,1,1,0,1,0
196,22,1,3,2,1,1,0,1,1,0,1,1
197,50,0,5,1,1,2,2,1,1,0,1,1
198,49,0,3,1,1,2,1,1,1,0,1,1
199,19,1,5,3,1,1,0,1,1,1,0,0
200,60,1,14,1,1,1,2,1,1,0,1,1
201,52,1,3,4,1,2,0,1,1,0,1,1
202,20,1,16,3,0,4,1,0,0,0,0,0
203,43,0,2,1,1,1,0,1,1,1,1,1
204,42,1,2,1,0,1,0,0,1,0,0,0
205,42,0,3,1,0,2,2,1,1,0,0,1
206,38,0,2,1,1,1,2,1,1,0,1,1
207,47,0,4,1,1,1,0,1,1,0,1,1
208,12,1,10,2,0,3,1,0,1,0,0,0
209,27,1,3,1,0,3,2,0,1,0,1,1
210,23,1,4,1,0,2,2,0,1,0,0,1
211,44,0,4,1,0,1,2,1,1,0,1,1
212,22,1,8,2,1,1,2,1,1,1,0,0
213,11,0,3,3,0,2,2,1,1,0,1,1
214,21,1,4,4,1,1,0,1,1,1,1,1
215,23,1,4,4,1,1,0,1,1,1,1,1
216,12,0,4,5,1,1,0,1,1,1,1,1
217,13,0,5,1,1,1,1,0,1,0,1,0
218,13,1,4,4,1,1,0,1,1,1,1,1
219,12,1,1,5,0,1,0,1,1,0,1,1
220,41,0,3,4,1,1,0,1,1,1,1,1
221,30,0,4,4,1,1,0,1,1,1,1,1
222,14,0,4,5,1,2,0,1,1,1,1,1
223,70,0,2,5,1,1,0,1,1,1,1,1
224,55,0,3,4,1,1,0,1,1,1,1,1
225,15,0,6,2,1,1,2,0,1,0,1,0
226,49,1,3,4,1,1,0,1,1,1,1,1
227,17,0,7,4,0,2,0,0,1,0,1,0
228,55,1,4,5,1,2,0,1,1,1,1,1
229,35,1,3,5,1,1,0,1,1,1,1,1
230,18,1,6,5,1,1,1,1,0,1,0,1
231,43,1,3,3,1,1,0,1,1,1,1,1
232,22,1,6,2,0,2,1,1,1,1,1,0
233,45,0,3,3,1,2,0,1,1,1,1,1
234,19,0,3,4,1,2,1,1,1,0,1,1
235,75,0,3,4,1,1,0,1,1,1,1,1
236,20,1,7,3,1,2,1,1,1,0,1,0
237,70,1,4,4,1,1,0,1,1,1,1,1
238,22,1,8,4,1,2,0,1,1,1,0,0
239,65,0,4,5,1,1,0,1,1,1,1,1
240,13,0,4,5,1,3,1,1,1,1,1,1
241,15,0,2,5,1,1,0,1,1,1,1,1
242,15,0,1,5,1,2,1,0,1,0,1,0
243,11,0,3,3,0,1,2,0,0,1,1,1
244,65,0,5,3,0,1,0,1,1,1,1,1
245,67,0,4,3,1,1,0,1,1,1,1,1
246,13,0,8,2,0,4,1,0,0,0,1,0
247,11,0,4,2,0,3,0,0,0,0,1,0
248,15,1,1,4,1,1,0,1,1,1,1,1
249,12,1,6,3,0,4,1,0,1,0,0,1
250,34,0,5,5,0,2,0,1,0,1,1,1
251,70,1,1,3,1,1,0,1,1,1,1,1
